2021.5.16 20:00:37:508   leftController:(-0.68, 1.04, 1.78)  rightController:(-0.39, 1.25, 1.85)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.48, 1.59, 1.61)  leftControllerVel:(0.01, 0.01, 0.02)  rightControllerVel:(0.01, -0.01, -0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.5.16 20:00:37:628   leftController:(-0.67, 1.04, 1.78)  rightController:(-0.40, 1.25, 1.85)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.48, 1.59, 1.61)  leftControllerVel:(0.00, 0.01, 0.01)  rightControllerVel:(-0.01, -0.03, -0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.5.16 20:00:37:637   leftController:(-0.67, 1.04, 1.78)  rightController:(-0.40, 1.25, 1.85)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.48, 1.59, 1.61)  leftControllerVel:(0.00, 0.01, 0.00)  rightControllerVel:(-0.02, -0.03, -0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.5.16 20:00:37:649   leftController:(-0.67, 1.04, 1.78)  rightController:(-0.40, 1.25, 1.85)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.48, 1.59, 1.61)  leftControllerVel:(-0.01, 0.00, 0.00)  rightControllerVel:(-0.02, -0.04, -0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.5.16 20:00:37:658   leftController:(-0.67, 1.04, 1.78)  rightController:(-0.40, 1.25, 1.85)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.48, 1.59, 1.61)  leftControllerVel:(-0.01, 0.00, 0.00)  rightControllerVel:(-0.02, -0.04, -0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.5.16 20:00:37:666   leftController:(-0.67, 1.04, 1.78)  rightController:(-0.40, 1.25, 1.85)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.48, 1.59, 1.61)  leftControllerVel:(-0.01, 0.00, 0.00)  rightControllerVel:(-0.01, -0.05, -0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.5.16 20:00:37:671   leftController:(-0.67, 1.04, 1.78)  rightController:(-0.40, 1.25, 1.85)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.48, 1.59, 1.61)  leftControllerVel:(-0.01, 0.00, 0.00)  rightControllerVel:(-0.01, -0.05, -0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.5.16 20:00:37:679   leftController:(-0.67, 1.04, 1.78)  rightController:(-0.40, 1.24, 1.85)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.48, 1.59, 1.61)  leftControllerVel:(-0.01, 0.00, 0.00)  rightControllerVel:(-0.01, -0.06, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.5.16 20:00:37:690   leftController:(-0.67, 1.04, 1.78)  rightController:(-0.40, 1.24, 1.85)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.48, 1.59, 1.61)  leftControllerVel:(-0.01, 0.00, 0.00)  rightControllerVel:(-0.01, -0.07, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.5.16 20:00:37:701   leftController:(-0.67, 1.04, 1.78)  rightController:(-0.40, 1.24, 1.85)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.48, 1.59, 1.61)  leftControllerVel:(-0.01, 0.00, 0.00)  rightControllerVel:(0.00, -0.10, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.5.16 20:00:37:712   leftController:(-0.67, 1.04, 1.78)  rightController:(-0.40, 1.24, 1.85)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.48, 1.59, 1.61)  leftControllerVel:(-0.01, 0.00, 0.00)  rightControllerVel:(0.00, -0.12, 0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
