2021.5.16 20:03:22:173   leftController:(-0.19, 0.98, 0.05)  rightController:(0.05, 1.20, 0.18)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.02, 1.52, -0.12)  leftControllerVel:(0.20, 0.06, 0.18)  rightControllerVel:(0.16, 0.01, 0.10)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.5.16 20:03:22:325   leftController:(-0.15, 0.99, 0.08)  rightController:(0.07, 1.20, 0.19)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.00, 1.52, -0.10)  leftControllerVel:(0.26, 0.04, 0.21)  rightControllerVel:(0.21, -0.04, 0.06)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.5.16 20:03:22:337   leftController:(-0.15, 0.99, 0.08)  rightController:(0.08, 1.20, 0.19)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.01, 1.52, -0.10)  leftControllerVel:(0.26, 0.04, 0.21)  rightControllerVel:(0.21, -0.05, 0.05)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.5.16 20:03:22:395   leftController:(-0.13, 0.99, 0.10)  rightController:(0.09, 1.20, 0.19)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.02, 1.52, -0.10)  leftControllerVel:(0.28, 0.05, 0.19)  rightControllerVel:(0.19, -0.11, 0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.5.16 20:03:22:403   leftController:(-0.13, 0.99, 0.10)  rightController:(0.09, 1.19, 0.19)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.02, 1.52, -0.10)  leftControllerVel:(0.28, 0.05, 0.19)  rightControllerVel:(0.19, -0.14, 0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.5.16 20:03:22:408   leftController:(-0.13, 0.99, 0.10)  rightController:(0.09, 1.19, 0.19)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.02, 1.52, -0.10)  leftControllerVel:(0.28, 0.05, 0.18)  rightControllerVel:(0.19, -0.15, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.5.16 20:03:22:413   leftController:(-0.13, 0.99, 0.10)  rightController:(0.09, 1.19, 0.19)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.02, 1.52, -0.10)  leftControllerVel:(0.28, 0.05, 0.18)  rightControllerVel:(0.19, -0.18, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.5.16 20:03:22:423   leftController:(-0.12, 0.99, 0.10)  rightController:(0.09, 1.19, 0.19)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.03, 1.52, -0.09)  leftControllerVel:(0.28, 0.05, 0.18)  rightControllerVel:(0.19, -0.19, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.5.16 20:03:22:434   leftController:(-0.12, 1.00, 0.10)  rightController:(0.09, 1.19, 0.19)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.03, 1.52, -0.09)  leftControllerVel:(0.28, 0.04, 0.17)  rightControllerVel:(0.19, -0.23, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.5.16 20:03:22:444   leftController:(-0.12, 1.00, 0.10)  rightController:(0.10, 1.18, 0.19)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.03, 1.52, -0.09)  leftControllerVel:(0.28, 0.04, 0.17)  rightControllerVel:(0.19, -0.25, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.5.16 20:03:22:456   leftController:(-0.11, 1.00, 0.11)  rightController:(0.10, 1.18, 0.19)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.04, 1.52, -0.09)  leftControllerVel:(0.28, 0.04, 0.16)  rightControllerVel:(0.19, -0.28, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
