2021.6.22 19:04:50:462   leftController:(-0.37, 1.21, 0.42)  rightController:(-0.04, 1.20, 0.38)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.20, 1.66, 0.11)  leftControllerVel:(0.00, 0.01, 0.01)  rightControllerVel:(0.04, 0.04, -0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.6.22 19:04:50:581   leftController:(-0.37, 1.21, 0.42)  rightController:(-0.03, 1.20, 0.38)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.20, 1.66, 0.11)  leftControllerVel:(-0.01, 0.01, 0.01)  rightControllerVel:(0.03, 0.00, 0.04)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.6.22 19:04:50:858   leftController:(-0.37, 1.21, 0.42)  rightController:(-0.03, 1.20, 0.38)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.20, 1.66, 0.10)  leftControllerVel:(0.00, -0.01, -0.02)  rightControllerVel:(-0.03, -0.02, -0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.6.22 19:04:50:887   leftController:(-0.37, 1.21, 0.42)  rightController:(-0.03, 1.20, 0.38)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.20, 1.66, 0.10)  leftControllerVel:(0.00, -0.01, -0.02)  rightControllerVel:(-0.03, -0.02, -0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.6.22 19:04:50:926   leftController:(-0.37, 1.21, 0.42)  rightController:(-0.04, 1.20, 0.38)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.20, 1.66, 0.10)  leftControllerVel:(-0.02, -0.01, -0.02)  rightControllerVel:(-0.04, -0.01, -0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.6.22 19:04:50:944   leftController:(-0.37, 1.21, 0.41)  rightController:(-0.04, 1.20, 0.38)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.20, 1.66, 0.10)  leftControllerVel:(-0.02, -0.01, -0.02)  rightControllerVel:(-0.05, -0.01, -0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.6.22 19:04:50:963   leftController:(-0.37, 1.21, 0.41)  rightController:(-0.04, 1.20, 0.38)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.20, 1.66, 0.10)  leftControllerVel:(-0.02, -0.01, -0.02)  rightControllerVel:(-0.05, 0.00, -0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.6.22 19:04:50:974   leftController:(-0.37, 1.21, 0.41)  rightController:(-0.04, 1.20, 0.38)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.20, 1.66, 0.10)  leftControllerVel:(-0.02, -0.01, -0.02)  rightControllerVel:(-0.06, 0.00, -0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.6.22 19:04:50:992   leftController:(-0.37, 1.21, 0.41)  rightController:(-0.04, 1.20, 0.38)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.20, 1.66, 0.10)  leftControllerVel:(-0.02, -0.02, -0.02)  rightControllerVel:(-0.07, 0.01, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.6.22 19:04:51:04   leftController:(-0.37, 1.21, 0.41)  rightController:(-0.04, 1.20, 0.38)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.20, 1.66, 0.10)  leftControllerVel:(-0.01, -0.02, -0.02)  rightControllerVel:(-0.08, 0.01, -0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.6.22 19:04:51:20   leftController:(-0.37, 1.21, 0.41)  rightController:(-0.04, 1.20, 0.38)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.20, 1.66, 0.10)  leftControllerVel:(0.00, -0.02, -0.02)  rightControllerVel:(-0.10, 0.01, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
