2021.6.22 19:07:16:711   leftController:(-0.32, 1.29, 0.34)  rightController:(0.06, 1.24, 0.32)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.16, 1.66, 0.02)  leftControllerVel:(-0.04, -0.01, -0.03)  rightControllerVel:(0.06, 0.03, 0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.6.22 19:07:16:904   leftController:(-0.34, 1.28, 0.34)  rightController:(0.06, 1.24, 0.32)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.16, 1.66, 0.03)  leftControllerVel:(-0.11, -0.04, -0.01)  rightControllerVel:(0.00, -0.10, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.6.22 19:07:16:922   leftController:(-0.34, 1.28, 0.34)  rightController:(0.06, 1.24, 0.32)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.16, 1.66, 0.03)  leftControllerVel:(-0.11, -0.04, -0.01)  rightControllerVel:(-0.01, -0.10, -0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.6.22 19:07:16:944   leftController:(-0.34, 1.28, 0.34)  rightController:(0.06, 1.24, 0.32)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.17, 1.67, 0.03)  leftControllerVel:(-0.11, -0.04, -0.01)  rightControllerVel:(-0.02, -0.12, -0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.6.22 19:07:16:958   leftController:(-0.35, 1.28, 0.34)  rightController:(0.06, 1.23, 0.32)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.17, 1.67, 0.03)  leftControllerVel:(-0.11, -0.05, -0.01)  rightControllerVel:(-0.01, -0.13, -0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.6.22 19:07:16:967   leftController:(-0.35, 1.28, 0.34)  rightController:(0.06, 1.23, 0.32)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.17, 1.67, 0.03)  leftControllerVel:(-0.11, -0.05, -0.01)  rightControllerVel:(-0.01, -0.14, -0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.6.22 19:07:16:978   leftController:(-0.35, 1.28, 0.34)  rightController:(0.06, 1.23, 0.32)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.17, 1.67, 0.03)  leftControllerVel:(-0.11, -0.05, -0.01)  rightControllerVel:(-0.01, -0.15, -0.03)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.6.22 19:07:16:988   leftController:(-0.35, 1.28, 0.34)  rightController:(0.06, 1.23, 0.32)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.17, 1.67, 0.03)  leftControllerVel:(-0.11, -0.05, -0.01)  rightControllerVel:(-0.01, -0.16, -0.03)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.6.22 19:07:17:03   leftController:(-0.35, 1.28, 0.34)  rightController:(0.06, 1.23, 0.32)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.17, 1.67, 0.03)  leftControllerVel:(-0.11, -0.05, -0.01)  rightControllerVel:(-0.02, -0.16, -0.03)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.6.22 19:07:17:12   leftController:(-0.35, 1.27, 0.34)  rightController:(0.06, 1.22, 0.32)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.17, 1.67, 0.03)  leftControllerVel:(-0.10, -0.06, -0.01)  rightControllerVel:(-0.02, -0.16, -0.03)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.6.22 19:07:17:22   leftController:(-0.35, 1.27, 0.34)  rightController:(0.06, 1.22, 0.32)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.17, 1.67, 0.03)  leftControllerVel:(-0.10, -0.06, -0.01)  rightControllerVel:(-0.03, -0.17, -0.04)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
