2021.6.22 19:07:48:726   leftController:(-0.46, 1.29, 0.24)  rightController:(-0.14, 1.32, 0.33)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.26, 1.66, -0.07)  leftControllerVel:(0.07, -0.01, 0.04)  rightControllerVel:(0.01, -0.01, -0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.6.22 19:07:48:935   leftController:(-0.45, 1.29, 0.25)  rightController:(-0.14, 1.32, 0.33)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.26, 1.66, -0.07)  leftControllerVel:(0.01, 0.00, 0.03)  rightControllerVel:(-0.03, 0.04, -0.03)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.6.22 19:07:48:960   leftController:(-0.45, 1.29, 0.25)  rightController:(-0.14, 1.32, 0.33)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.26, 1.66, -0.07)  leftControllerVel:(0.00, 0.00, 0.03)  rightControllerVel:(-0.02, 0.05, -0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.6.22 19:07:48:985   leftController:(-0.45, 1.29, 0.25)  rightController:(-0.14, 1.32, 0.33)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.27, 1.66, -0.07)  leftControllerVel:(-0.01, 0.00, 0.03)  rightControllerVel:(-0.02, 0.04, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.6.22 19:07:49:00   leftController:(-0.45, 1.29, 0.25)  rightController:(-0.14, 1.32, 0.33)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.27, 1.66, -0.07)  leftControllerVel:(-0.01, 0.00, 0.03)  rightControllerVel:(-0.01, 0.03, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.6.22 19:07:49:12   leftController:(-0.45, 1.29, 0.25)  rightController:(-0.14, 1.32, 0.33)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.27, 1.66, -0.07)  leftControllerVel:(-0.01, 0.00, 0.03)  rightControllerVel:(-0.01, 0.02, 0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.6.22 19:07:49:26   leftController:(-0.45, 1.29, 0.25)  rightController:(-0.14, 1.32, 0.33)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.27, 1.66, -0.07)  leftControllerVel:(-0.01, 0.00, 0.02)  rightControllerVel:(-0.01, 0.00, 0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.6.22 19:07:49:38   leftController:(-0.45, 1.29, 0.25)  rightController:(-0.14, 1.32, 0.33)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.27, 1.66, -0.06)  leftControllerVel:(-0.01, 0.00, 0.02)  rightControllerVel:(-0.01, -0.01, 0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.6.22 19:07:49:61   leftController:(-0.45, 1.29, 0.25)  rightController:(-0.14, 1.32, 0.33)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.27, 1.66, -0.06)  leftControllerVel:(-0.01, 0.01, 0.02)  rightControllerVel:(-0.01, -0.01, 0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.6.22 19:07:49:80   leftController:(-0.45, 1.29, 0.25)  rightController:(-0.14, 1.32, 0.33)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.27, 1.66, -0.06)  leftControllerVel:(-0.01, 0.01, 0.01)  rightControllerVel:(0.00, -0.01, 0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.6.22 19:07:49:112   leftController:(-0.45, 1.29, 0.25)  rightController:(-0.14, 1.32, 0.33)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.27, 1.66, -0.06)  leftControllerVel:(-0.01, 0.01, 0.01)  rightControllerVel:(0.01, 0.00, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
