2021.6.22 19:09:14:120   leftController:(-0.40, 1.28, 0.31)  rightController:(-0.09, 1.38, 0.42)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.24, 1.66, 0.06)  leftControllerVel:(-0.01, -0.01, 0.01)  rightControllerVel:(0.00, 0.00, 0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.6.22 19:09:14:317   leftController:(-0.40, 1.28, 0.31)  rightController:(-0.09, 1.38, 0.42)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.25, 1.66, 0.06)  leftControllerVel:(-0.02, -0.02, 0.01)  rightControllerVel:(-0.01, 0.00, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.6.22 19:09:14:341   leftController:(-0.40, 1.28, 0.31)  rightController:(-0.09, 1.38, 0.42)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.25, 1.66, 0.06)  leftControllerVel:(-0.02, -0.02, 0.01)  rightControllerVel:(-0.02, -0.01, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.6.22 19:09:14:372   leftController:(-0.40, 1.28, 0.31)  rightController:(-0.09, 1.38, 0.42)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.25, 1.66, 0.06)  leftControllerVel:(-0.02, -0.01, 0.01)  rightControllerVel:(-0.01, -0.01, 0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.6.22 19:09:14:387   leftController:(-0.40, 1.28, 0.31)  rightController:(-0.09, 1.38, 0.42)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.25, 1.66, 0.06)  leftControllerVel:(-0.02, -0.01, 0.01)  rightControllerVel:(-0.02, -0.01, 0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.6.22 19:09:14:404   leftController:(-0.40, 1.28, 0.31)  rightController:(-0.09, 1.38, 0.42)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.25, 1.66, 0.06)  leftControllerVel:(-0.02, -0.01, 0.01)  rightControllerVel:(-0.01, -0.01, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.6.22 19:09:14:417   leftController:(-0.40, 1.28, 0.31)  rightController:(-0.09, 1.38, 0.42)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.25, 1.66, 0.06)  leftControllerVel:(-0.02, -0.01, 0.01)  rightControllerVel:(-0.01, -0.01, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.6.22 19:09:14:434   leftController:(-0.40, 1.28, 0.31)  rightController:(-0.09, 1.38, 0.42)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.25, 1.66, 0.06)  leftControllerVel:(-0.02, -0.01, 0.01)  rightControllerVel:(-0.01, -0.01, 0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.6.22 19:09:14:450   leftController:(-0.40, 1.28, 0.31)  rightController:(-0.10, 1.38, 0.42)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.25, 1.66, 0.06)  leftControllerVel:(-0.02, -0.01, 0.01)  rightControllerVel:(-0.01, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.6.22 19:09:14:469   leftController:(-0.40, 1.28, 0.31)  rightController:(-0.10, 1.38, 0.42)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.25, 1.66, 0.06)  leftControllerVel:(-0.03, -0.01, 0.01)  rightControllerVel:(-0.02, 0.01, -0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.6.22 19:09:14:495   leftController:(-0.40, 1.28, 0.31)  rightController:(-0.10, 1.38, 0.42)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.25, 1.66, 0.06)  leftControllerVel:(-0.03, -0.02, 0.01)  rightControllerVel:(-0.05, 0.01, -0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
