2021.7.2 17:59:36:168   leftController:(0.29, 1.43, 0.18)  rightController:(-0.23, 1.15, 0.03)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.09, 1.68, -0.20)  leftControllerVel:(0.05, -0.03, -0.01)  rightControllerVel:(0.01, 0.03, 0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.7.2 17:59:36:337   leftController:(0.29, 1.42, 0.17)  rightController:(-0.22, 1.15, 0.03)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.08, 1.68, -0.21)  leftControllerVel:(0.03, -0.06, -0.12)  rightControllerVel:(0.09, 0.00, 0.03)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.7.2 17:59:36:349   leftController:(0.29, 1.42, 0.16)  rightController:(-0.22, 1.15, 0.03)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.08, 1.68, -0.21)  leftControllerVel:(0.01, -0.08, -0.13)  rightControllerVel:(0.11, -0.01, 0.03)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.7.2 17:59:36:370   leftController:(0.29, 1.42, 0.16)  rightController:(-0.22, 1.15, 0.04)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.08, 1.69, -0.21)  leftControllerVel:(-0.03, -0.12, -0.15)  rightControllerVel:(0.13, -0.03, 0.05)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.7.2 17:59:36:381   leftController:(0.29, 1.42, 0.16)  rightController:(-0.22, 1.15, 0.04)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.08, 1.69, -0.21)  leftControllerVel:(-0.05, -0.13, -0.15)  rightControllerVel:(0.14, -0.04, 0.05)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.7.2 17:59:36:389   leftController:(0.29, 1.41, 0.16)  rightController:(-0.22, 1.15, 0.04)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.08, 1.69, -0.21)  leftControllerVel:(-0.06, -0.14, -0.16)  rightControllerVel:(0.15, -0.04, 0.06)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.7.2 17:59:36:398   leftController:(0.29, 1.41, 0.16)  rightController:(-0.21, 1.15, 0.04)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.08, 1.69, -0.21)  leftControllerVel:(-0.07, -0.16, -0.16)  rightControllerVel:(0.17, -0.05, 0.06)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.7.2 17:59:36:405   leftController:(0.29, 1.41, 0.16)  rightController:(-0.21, 1.15, 0.04)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.08, 1.69, -0.21)  leftControllerVel:(-0.08, -0.17, -0.16)  rightControllerVel:(0.19, -0.05, 0.07)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.7.2 17:59:36:413   leftController:(0.29, 1.41, 0.15)  rightController:(-0.21, 1.15, 0.04)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.08, 1.69, -0.20)  leftControllerVel:(-0.08, -0.19, -0.16)  rightControllerVel:(0.19, -0.04, 0.07)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.7.2 17:59:36:420   leftController:(0.29, 1.41, 0.15)  rightController:(-0.21, 1.15, 0.04)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.08, 1.69, -0.20)  leftControllerVel:(-0.08, -0.21, -0.16)  rightControllerVel:(0.19, -0.03, 0.06)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.7.2 17:59:36:431   leftController:(0.29, 1.41, 0.15)  rightController:(-0.21, 1.15, 0.04)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.08, 1.69, -0.20)  leftControllerVel:(-0.08, -0.24, -0.17)  rightControllerVel:(0.19, -0.02, 0.06)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.7.2 17:59:36:442   leftController:(0.29, 1.40, 0.15)  rightController:(-0.21, 1.15, 0.04)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.08, 1.69, -0.20)  leftControllerVel:(-0.06, -0.26, -0.17)  rightControllerVel:(0.17, 0.03, 0.06)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.7.2 17:59:36:453   leftController:(0.29, 1.40, 0.15)  rightController:(-0.20, 1.15, 0.04)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.08, 1.69, -0.20)  leftControllerVel:(-0.04, -0.27, -0.19)  rightControllerVel:(0.15, 0.06, 0.05)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.7.2 17:59:36:464   leftController:(0.29, 1.40, 0.14)  rightController:(-0.20, 1.15, 0.04)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.08, 1.69, -0.20)  leftControllerVel:(-0.02, -0.28, -0.22)  rightControllerVel:(0.14, 0.12, 0.03)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.7.2 17:59:36:476   leftController:(0.29, 1.39, 0.14)  rightController:(-0.20, 1.15, 0.04)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.08, 1.69, -0.20)  leftControllerVel:(0.00, -0.27, -0.26)  rightControllerVel:(0.13, 0.17, 0.02)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.7.2 17:59:36:487   leftController:(0.29, 1.39, 0.14)  rightController:(-0.20, 1.15, 0.04)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.08, 1.69, -0.20)  leftControllerVel:(0.01, -0.25, -0.29)  rightControllerVel:(0.14, 0.23, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.7.2 17:59:36:498   leftController:(0.29, 1.39, 0.13)  rightController:(-0.20, 1.16, 0.04)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.08, 1.69, -0.20)  leftControllerVel:(0.01, -0.23, -0.30)  rightControllerVel:(0.14, 0.26, -0.01)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.7.2 17:59:36:509   leftController:(0.29, 1.39, 0.13)  rightController:(-0.20, 1.16, 0.04)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.08, 1.69, -0.20)  leftControllerVel:(0.00, -0.22, -0.30)  rightControllerVel:(0.15, 0.29, -0.03)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.7.2 17:59:36:520   leftController:(0.29, 1.38, 0.13)  rightController:(-0.20, 1.16, 0.04)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.07, 1.69, -0.19)  leftControllerVel:(-0.02, -0.22, -0.30)  rightControllerVel:(0.16, 0.31, -0.05)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.7.2 17:59:36:531   leftController:(0.29, 1.38, 0.12)  rightController:(-0.19, 1.17, 0.04)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.07, 1.69, -0.19)  leftControllerVel:(-0.03, -0.24, -0.30)  rightControllerVel:(0.18, 0.32, -0.06)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.7.2 17:59:36:542   leftController:(0.29, 1.38, 0.12)  rightController:(-0.19, 1.17, 0.04)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.07, 1.68, -0.19)  leftControllerVel:(-0.04, -0.26, -0.29)  rightControllerVel:(0.19, 0.32, -0.07)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.7.2 17:59:36:553   leftController:(0.29, 1.37, 0.12)  rightController:(-0.19, 1.18, 0.04)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.07, 1.68, -0.19)  leftControllerVel:(-0.05, -0.31, -0.28)  rightControllerVel:(0.21, 0.30, -0.07)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.7.2 17:59:36:565   leftController:(0.28, 1.37, 0.12)  rightController:(-0.19, 1.18, 0.04)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.07, 1.68, -0.18)  leftControllerVel:(-0.05, -0.34, -0.27)  rightControllerVel:(0.23, 0.28, -0.08)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2021.7.2 17:59:36:576   leftController:(0.28, 1.37, 0.11)  rightController:(-0.18, 1.18, 0.04)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(-0.07, 1.68, -0.18)  leftControllerVel:(-0.05, -0.37, -0.27)  rightControllerVel:(0.24, 0.26, -0.08)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
