2021.10.23 14:53:43:136   leftController:(0.10, 1.11, 0.23)  rightController:(0.00, 0.00, 0.00)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(-0.26, 1.05, 0.21)  headset:(-0.10, 1.61, 0.02)  leftControllerVel:(0.02, 0.02, -0.03)  rightControllerVel:(0.00, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.01, 0.00, 0.00)
2021.10.23 14:53:43:147   leftController:(0.10, 1.11, 0.23)  rightController:(0.00, 0.00, 0.00)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(-0.26, 1.05, 0.21)  headset:(-0.10, 1.61, 0.02)  leftControllerVel:(0.01, 0.02, -0.02)  rightControllerVel:(0.00, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.01, 0.00, 0.00)
2021.10.23 14:53:43:278   leftController:(0.10, 1.11, 0.22)  rightController:(0.00, 0.00, 0.00)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(-0.26, 1.05, 0.21)  headset:(-0.10, 1.61, 0.02)  leftControllerVel:(0.00, -0.02, -0.01)  rightControllerVel:(0.00, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.01, -0.01)
2021.10.23 14:53:43:518   leftController:(0.10, 1.10, 0.23)  rightController:(0.00, 0.00, 0.00)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(-0.27, 1.05, 0.21)  headset:(-0.10, 1.61, 0.02)  leftControllerVel:(-0.02, 0.01, 0.01)  rightControllerVel:(0.00, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(-0.01, 0.00, -0.01)
2021.10.23 14:53:43:532   leftController:(0.10, 1.10, 0.23)  rightController:(0.00, 0.00, 0.00)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(-0.27, 1.05, 0.21)  headset:(-0.10, 1.61, 0.02)  leftControllerVel:(-0.02, 0.01, 0.01)  rightControllerVel:(0.00, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(-0.01, 0.00, -0.01)
2021.10.23 14:53:43:542   leftController:(0.10, 1.10, 0.23)  rightController:(0.00, 0.00, 0.00)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(-0.27, 1.05, 0.21)  headset:(-0.10, 1.61, 0.02)  leftControllerVel:(-0.02, 0.01, 0.01)  rightControllerVel:(0.00, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(-0.01, 0.00, -0.01)
2021.10.23 14:53:43:551   leftController:(0.10, 1.10, 0.23)  rightController:(0.00, 0.00, 0.00)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(-0.27, 1.05, 0.21)  headset:(-0.10, 1.61, 0.02)  leftControllerVel:(-0.02, 0.01, 0.01)  rightControllerVel:(0.00, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(-0.01, 0.00, -0.01)
2021.10.23 14:53:43:557   leftController:(0.10, 1.10, 0.23)  rightController:(0.00, 0.00, 0.00)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(-0.27, 1.05, 0.21)  headset:(-0.10, 1.61, 0.02)  leftControllerVel:(-0.01, 0.01, 0.00)  rightControllerVel:(0.00, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(-0.01, 0.00, -0.01)
2021.10.23 14:53:43:562   leftController:(0.10, 1.10, 0.23)  rightController:(0.00, 0.00, 0.00)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(-0.27, 1.05, 0.21)  headset:(-0.10, 1.61, 0.02)  leftControllerVel:(-0.01, 0.01, 0.00)  rightControllerVel:(0.00, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(-0.01, 0.00, -0.01)
2021.10.23 14:53:43:567   leftController:(0.10, 1.10, 0.23)  rightController:(0.00, 0.00, 0.00)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(-0.27, 1.05, 0.21)  headset:(-0.10, 1.61, 0.02)  leftControllerVel:(-0.01, 0.01, 0.00)  rightControllerVel:(0.00, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(-0.01, 0.00, -0.01)
2021.10.23 14:53:43:577   leftController:(0.10, 1.10, 0.23)  rightController:(0.00, 0.00, 0.00)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(-0.27, 1.05, 0.21)  headset:(-0.10, 1.61, 0.02)  leftControllerVel:(-0.02, 0.01, 0.01)  rightControllerVel:(0.00, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(-0.01, -0.01, -0.01)
