2022.4.8 18:03:41:829   leftController:(0.10, 1.30, 0.31)  rightController:(0.00, 0.00, 0.00)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(-0.12, 1.19, 0.32)  headset:(-0.05, 1.68, 0.12)  leftControllerVel:(-0.04, 0.00, 0.00)  rightControllerVel:(0.00, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.02, 0.01, 0.00)
2022.4.8 18:03:41:839   leftController:(0.09, 1.30, 0.31)  rightController:(0.00, 0.00, 0.00)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(-0.12, 1.19, 0.32)  headset:(-0.05, 1.68, 0.12)  leftControllerVel:(-0.04, -0.02, 0.01)  rightControllerVel:(0.00, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.02, 0.01, 0.00)
2022.4.8 18:03:41:851   leftController:(0.09, 1.30, 0.31)  rightController:(0.00, 0.00, 0.00)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(-0.12, 1.19, 0.32)  headset:(-0.05, 1.68, 0.12)  leftControllerVel:(-0.02, -0.04, 0.02)  rightControllerVel:(0.00, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.02, 0.02, 0.00)
2022.4.8 18:03:41:922   leftController:(0.09, 1.30, 0.31)  rightController:(0.00, 0.00, 0.00)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(-0.12, 1.19, 0.32)  headset:(-0.05, 1.68, 0.12)  leftControllerVel:(-0.04, -0.01, 0.02)  rightControllerVel:(0.00, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.03, 0.03, 0.01)
2022.4.8 18:03:42:131   leftController:(0.09, 1.30, 0.31)  rightController:(0.00, 0.00, 0.00)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(-0.12, 1.19, 0.32)  headset:(-0.06, 1.68, 0.12)  leftControllerVel:(0.01, -0.01, 0.01)  rightControllerVel:(0.00, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.04, 0.02, 0.01)
2022.4.8 18:03:42:144   leftController:(0.09, 1.30, 0.31)  rightController:(0.00, 0.00, 0.00)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(-0.12, 1.19, 0.32)  headset:(-0.06, 1.68, 0.12)  leftControllerVel:(0.01, -0.01, 0.01)  rightControllerVel:(0.00, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.04, 0.02, 0.01)
2022.4.8 18:03:42:153   leftController:(0.09, 1.30, 0.31)  rightController:(0.00, 0.00, 0.00)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(-0.12, 1.19, 0.32)  headset:(-0.06, 1.68, 0.12)  leftControllerVel:(0.01, -0.01, 0.01)  rightControllerVel:(0.00, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.04, 0.02, 0.01)
2022.4.8 18:03:42:161   leftController:(0.09, 1.30, 0.31)  rightController:(0.00, 0.00, 0.00)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(-0.12, 1.19, 0.32)  headset:(-0.06, 1.68, 0.12)  leftControllerVel:(0.01, -0.01, 0.01)  rightControllerVel:(0.00, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.03, 0.02, 0.01)
2022.4.8 18:03:42:166   leftController:(0.09, 1.29, 0.31)  rightController:(0.00, 0.00, 0.00)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(-0.12, 1.19, 0.32)  headset:(-0.06, 1.68, 0.12)  leftControllerVel:(0.01, -0.01, 0.01)  rightControllerVel:(0.00, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.03, 0.02, 0.01)
2022.4.8 18:03:42:171   leftController:(0.09, 1.29, 0.31)  rightController:(0.00, 0.00, 0.00)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(-0.12, 1.19, 0.32)  headset:(-0.07, 1.68, 0.12)  leftControllerVel:(0.01, -0.01, 0.01)  rightControllerVel:(0.00, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.03, 0.02, 0.01)
2022.4.8 18:03:42:180   leftController:(0.09, 1.29, 0.31)  rightController:(0.00, 0.00, 0.00)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(-0.12, 1.19, 0.32)  headset:(-0.07, 1.68, 0.12)  leftControllerVel:(0.01, -0.01, 0.01)  rightControllerVel:(0.00, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.03, 0.01, 0.01)
2022.4.8 18:03:42:191   leftController:(0.09, 1.29, 0.31)  rightController:(0.00, 0.00, 0.00)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(-0.12, 1.19, 0.32)  headset:(-0.07, 1.68, 0.12)  leftControllerVel:(0.01, -0.01, 0.01)  rightControllerVel:(0.00, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.03, 0.01, 0.01)
2022.4.8 18:03:42:202   leftController:(0.09, 1.29, 0.31)  rightController:(0.00, 0.00, 0.00)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(-0.12, 1.19, 0.32)  headset:(-0.07, 1.68, 0.12)  leftControllerVel:(0.01, -0.01, 0.02)  rightControllerVel:(0.00, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.03, 0.01, 0.01)
2022.4.8 18:03:42:213   leftController:(0.09, 1.29, 0.31)  rightController:(0.00, 0.00, 0.00)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(-0.12, 1.19, 0.32)  headset:(-0.07, 1.68, 0.12)  leftControllerVel:(0.01, -0.01, 0.02)  rightControllerVel:(0.00, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.03, 0.01, 0.01)
2022.4.8 18:03:42:225   leftController:(0.09, 1.29, 0.31)  rightController:(0.00, 0.00, 0.00)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(-0.12, 1.19, 0.32)  headset:(-0.07, 1.68, 0.12)  leftControllerVel:(0.01, -0.01, 0.02)  rightControllerVel:(0.00, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.03, 0.02, 0.01)
2022.4.8 18:03:42:236   leftController:(0.09, 1.29, 0.31)  rightController:(0.00, 0.00, 0.00)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(-0.11, 1.19, 0.32)  headset:(-0.07, 1.68, 0.12)  leftControllerVel:(0.01, -0.01, 0.02)  rightControllerVel:(0.00, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.03, 0.02, 0.01)
2022.4.8 18:03:42:248   leftController:(0.09, 1.29, 0.31)  rightController:(0.00, 0.00, 0.00)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(-0.11, 1.19, 0.32)  headset:(-0.07, 1.68, 0.12)  leftControllerVel:(0.02, -0.02, 0.02)  rightControllerVel:(0.00, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.03, 0.02, 0.01)
2022.4.8 18:03:42:259   leftController:(0.09, 1.29, 0.31)  rightController:(0.00, 0.00, 0.00)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(-0.11, 1.19, 0.32)  headset:(-0.07, 1.68, 0.12)  leftControllerVel:(0.02, -0.02, 0.02)  rightControllerVel:(0.00, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.03, 0.02, 0.01)
2022.4.8 18:03:42:270   leftController:(0.09, 1.29, 0.31)  rightController:(0.00, 0.00, 0.00)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(-0.11, 1.19, 0.32)  headset:(-0.07, 1.68, 0.12)  leftControllerVel:(0.02, -0.02, 0.02)  rightControllerVel:(0.00, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.02, 0.02, 0.01)
