2022.4.14 17:01:51:547   leftController:(0.00, 0.00, 0.00)  rightController:(0.00, 0.00, 0.00)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.08, 1.95, -0.10)  leftControllerVel:(0.00, 0.00, 0.00)  rightControllerVel:(0.00, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2022.4.14 17:01:51:698   leftController:(0.00, 0.00, 0.00)  rightController:(0.00, 0.00, 0.00)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.05, 1.96, -0.11)  leftControllerVel:(0.00, 0.00, 0.00)  rightControllerVel:(0.00, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2022.4.14 17:01:51:707   leftController:(0.00, 0.00, 0.00)  rightController:(0.00, 0.00, 0.00)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.05, 1.96, -0.11)  leftControllerVel:(0.00, 0.00, 0.00)  rightControllerVel:(0.00, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2022.4.14 17:01:51:717   leftController:(0.00, 0.00, 0.00)  rightController:(0.00, 0.00, 0.00)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.05, 1.96, -0.11)  leftControllerVel:(0.00, 0.00, 0.00)  rightControllerVel:(0.00, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2022.4.14 17:01:51:726   leftController:(0.00, 0.00, 0.00)  rightController:(0.00, 0.00, 0.00)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.04, 1.96, -0.11)  leftControllerVel:(0.00, 0.00, 0.00)  rightControllerVel:(0.00, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2022.4.14 17:01:51:736   leftController:(0.00, 0.00, 0.00)  rightController:(0.00, 0.00, 0.00)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.04, 1.96, -0.11)  leftControllerVel:(0.00, 0.00, 0.00)  rightControllerVel:(0.00, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2022.4.14 17:01:51:747   leftController:(0.00, 0.00, 0.00)  rightController:(0.00, 0.00, 0.00)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.04, 1.96, -0.11)  leftControllerVel:(0.00, 0.00, 0.00)  rightControllerVel:(0.00, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2022.4.14 17:01:51:758   leftController:(0.00, 0.00, 0.00)  rightController:(0.00, 0.00, 0.00)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.04, 1.96, -0.11)  leftControllerVel:(0.00, 0.00, 0.00)  rightControllerVel:(0.00, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2022.4.14 17:01:51:770   leftController:(0.00, 0.00, 0.00)  rightController:(0.00, 0.00, 0.00)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.04, 1.96, -0.11)  leftControllerVel:(0.00, 0.00, 0.00)  rightControllerVel:(0.00, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2022.4.14 17:01:51:781   leftController:(0.00, 0.00, 0.00)  rightController:(0.00, 0.00, 0.00)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.04, 1.96, -0.11)  leftControllerVel:(0.00, 0.00, 0.00)  rightControllerVel:(0.00, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2022.4.14 17:01:51:792   leftController:(0.00, 0.00, 0.00)  rightController:(0.00, 0.00, 0.00)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.04, 1.96, -0.12)  leftControllerVel:(0.00, 0.00, 0.00)  rightControllerVel:(0.00, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2022.4.14 17:01:51:803   leftController:(0.00, 0.00, 0.00)  rightController:(0.00, 0.00, 0.00)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.04, 1.96, -0.12)  leftControllerVel:(0.00, 0.00, 0.00)  rightControllerVel:(0.00, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2022.4.14 17:01:51:814   leftController:(0.00, 0.00, 0.00)  rightController:(0.00, 0.00, 0.00)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.04, 1.96, -0.12)  leftControllerVel:(0.00, 0.00, 0.00)  rightControllerVel:(0.00, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2022.4.14 17:01:51:825   leftController:(0.00, 0.00, 0.00)  rightController:(0.00, 0.00, 0.00)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.04, 1.96, -0.12)  leftControllerVel:(0.00, 0.00, 0.00)  rightControllerVel:(0.00, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2022.4.14 17:01:51:836   leftController:(0.00, 0.00, 0.00)  rightController:(0.00, 0.00, 0.00)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.03, 1.96, -0.12)  leftControllerVel:(0.00, 0.00, 0.00)  rightControllerVel:(0.00, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2022.4.14 17:01:51:848   leftController:(0.00, 0.00, 0.00)  rightController:(0.00, 0.00, 0.00)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.03, 1.96, -0.12)  leftControllerVel:(0.00, 0.00, 0.00)  rightControllerVel:(0.00, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2022.4.14 17:01:51:859   leftController:(0.00, 0.00, 0.00)  rightController:(0.00, 0.00, 0.00)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.03, 1.96, -0.12)  leftControllerVel:(0.00, 0.00, 0.00)  rightControllerVel:(0.00, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2022.4.14 17:01:51:870   leftController:(0.00, 0.00, 0.00)  rightController:(0.00, 0.00, 0.00)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.03, 1.96, -0.12)  leftControllerVel:(0.00, 0.00, 0.00)  rightControllerVel:(0.00, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
2022.4.14 17:01:51:881   leftController:(0.00, 0.00, 0.00)  rightController:(0.00, 0.00, 0.00)  leftTracker:(0.00, 0.00, 0.00)  rightTracker:(0.00, 0.00, 0.00)  headset:(0.03, 1.96, -0.12)  leftControllerVel:(0.00, 0.00, 0.00)  rightControllerVel:(0.00, 0.00, 0.00)  leftTrackerVel:(0.00, 0.00, 0.00)  rightTrackerVel:(0.00, 0.00, 0.00)
